Date,Start,Visitor,PTS,Home,PTS,,,Notes
Thu Jun 1 2017,9:00 pm,Cleveland Cavaliers,91,Golden State Warriors,113,Box Score,,
Sun Jun 4 2017,8:00 pm,Cleveland Cavaliers,113,Golden State Warriors,132,Box Score,,
Wed Jun 7 2017,9:00 pm,Golden State Warriors,118,Cleveland Cavaliers,113,Box Score,,
Fri Jun 9 2017,9:00 pm,Golden State Warriors,116,Cleveland Cavaliers,137,Box Score,,
Mon Jun 12 2017,9:00 pm,Cleveland Cavaliers,120,Golden State Warriors,129,Box Score,,
Mon May 1 2017,7:00 pm,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,,
Mon May 1 2017,9:30 pm,Houston Rockets,126,San Antonio Spurs,99,Box Score,,
Tue May 2 2017,8:00 pm,Washington Wizards,119,Boston Celtics,129,Box Score,OT,
Tue May 2 2017,10:30 pm,Utah Jazz,94,Golden State Warriors,106,Box Score,,
Wed May 3 2017,7:00 pm,Toronto Raptors,103,Cleveland Cavaliers,125,Box Score,,
Wed May 3 2017,9:30 pm,Houston Rockets,96,San Antonio Spurs,121,Box Score,,
Thu May 4 2017,10:30 pm,Utah Jazz,104,Golden State Warriors,115,Box Score,,
Thu May 4 2017,8:00 pm,Boston Celtics,89,Washington Wizards,116,Box Score,,
Fri May 5 2017,9:30 pm,San Antonio Spurs,103,Houston Rockets,92,Box Score,,
Fri May 5 2017,7:00 pm,Cleveland Cavaliers,115,Toronto Raptors,94,Box Score,,
Sat May 6 2017,8:30 pm,Golden State Warriors,102,Utah Jazz,91,Box Score,,
Sun May 7 2017,9:00 pm,San Antonio Spurs,104,Houston Rockets,125,Box Score,,
Sun May 7 2017,3:30 pm,Cleveland Cavaliers,109,Toronto Raptors,102,Box Score,,
Sun May 7 2017,6:30 pm,Boston Celtics,102,Washington Wizards,121,Box Score,,
Mon May 8 2017,9:00 pm,Golden State Warriors,121,Utah Jazz,95,Box Score,,
Tue May 9 2017,8:00 pm,Houston Rockets,107,San Antonio Spurs,110,Box Score,OT,
Wed May 10 2017,8:00 pm,Washington Wizards,101,Boston Celtics,123,Box Score,,
Thu May 11 2017,8:00 pm,San Antonio Spurs,114,Houston Rockets,75,Box Score,,
Fri May 12 2017,8:00 pm,Boston Celtics,91,Washington Wizards,92,Box Score,,
Sun May 14 2017,3:30 pm,San Antonio Spurs,111,Golden State Warriors,113,Box Score,,
Mon May 15 2017,8:00 pm,Washington Wizards,105,Boston Celtics,115,Box Score,,
Tue May 16 2017,9:00 pm,San Antonio Spurs,100,Golden State Warriors,136,Box Score,,
Wed May 17 2017,8:30 pm,Cleveland Cavaliers,117,Boston Celtics,104,Box Score,,
Fri May 19 2017,8:30 pm,Cleveland Cavaliers,130,Boston Celtics,86,Box Score,,
Sat May 20 2017,9:00 pm,Golden State Warriors,120,San Antonio Spurs,108,Box Score,,
Sun May 21 2017,8:30 pm,Boston Celtics,111,Cleveland Cavaliers,108,Box Score,,
Mon May 22 2017,9:00 pm,Golden State Warriors,129,San Antonio Spurs,115,Box Score,,
Tue May 23 2017,8:30 pm,Boston Celtics,99,Cleveland Cavaliers,112,Box Score,,
Thu May 25 2017,8:30 pm,Cleveland Cavaliers,135,Boston Celtics,102,Box Score,,
Sat Apr 1 2017,6:00 pm,Orlando Magic,111,Brooklyn Nets,121,Box Score,,
Sat Apr 1 2017,5:00 pm,Atlanta Hawks,104,Chicago Bulls,106,Box Score,,
Sat Apr 1 2017,3:30 pm,Los Angeles Lakers,104,Los Angeles Clippers,115,Box Score,,
