first_name,last_name,correct,incorrect,games,correct_pg,incorrect_pg,accuracy
Bennett,Salvatore,93.0,18.0,7,13.285714285714286,2.5714285714285716,0.8378378378378378
Vladimir,Voyard-Tadal,55.0,9.0,4,13.75,2.25,0.859375
Jonathan,Sterling,129.0,18.0,8,16.125,2.25,0.8775510204081632
Tre,Maddox,728.0,111.0,50,14.56,2.22,0.867699642431466
Aaron,Smith,303.0,38.0,19,15.947368421052632,2.0,0.8885630498533724
David,Jones,351.0,55.0,28,12.535714285714286,1.9642857142857142,0.8645320197044335
Josh,Tiven,1015.0,133.0,68,14.926470588235293,1.9558823529411764,0.8841463414634146
Leroy,Richardson,887.0,119.0,61,14.540983606557377,1.9508196721311475,0.8817097415506958
Derrick,Collins,839.0,108.0,56,14.982142857142858,1.9285714285714286,0.8859556494192186
Bennie,Adams,705.0,92.0,50,14.1,1.84,0.8845671267252195
Derrick,Stafford,798.0,103.0,56,14.25,1.8392857142857142,0.8856825749167592
Gary,Zielinski,716.0,99.0,54,13.25925925925926,1.8333333333333333,0.8785276073619632
Ron,Garretson,666.0,84.0,46,14.478260869565217,1.826086956521739,0.888
Justin,Van Duyne,897.0,104.0,58,15.46551724137931,1.793103448275862,0.8961038961038961
Scott,Foster,1068.0,132.0,75,14.24,1.76,0.89
Leon,Wood,775.0,86.0,49,15.816326530612244,1.7551020408163265,0.9001161440185831
Tony,Brown,674.0,93.0,53,12.716981132075471,1.7547169811320755,0.878748370273794
Ken,Mauer,947.0,105.0,62,15.274193548387096,1.6935483870967742,0.9001901140684411
Sean,Wright,685.0,81.0,48,14.270833333333334,1.6875,0.8942558746736292
Tom,Washington,933.0,113.0,67,13.925373134328359,1.6865671641791045,0.8919694072657743
Matt,Boland,591.0,79.0,47,12.574468085106384,1.6808510638297873,0.8820895522388059
John,Goble,757.0,88.0,53,14.283018867924529,1.6603773584905661,0.8958579881656805
Zach,Zarba,907.0,104.0,63,14.396825396825397,1.6507936507936507,0.897131552917903
James,Williams,888.0,98.0,60,14.8,1.6333333333333333,0.9006085192697769
Marc,Davis,948.0,109.0,67,14.149253731343284,1.626865671641791,0.8968779564806055
Mike,Callahan,694.0,89.0,55,12.618181818181819,1.6181818181818182,0.8863346104725415
Michael,Smith,802.0,92.0,57,14.070175438596491,1.6140350877192982,0.8970917225950783
Eli,Roe,325.0,45.0,28,11.607142857142858,1.6071428571428572,0.8783783783783784
Jason,Phillips,790.0,86.0,54,14.62962962962963,1.5925925925925926,0.9018264840182648
Haywoode,Workman,622.0,76.0,48,12.958333333333334,1.5833333333333333,0.8911174785100286
Eric,Lewis,1031.0,107.0,68,15.161764705882353,1.5735294117647058,0.9059753954305799
Kevin,Cutler,701.0,80.0,51,13.745098039215685,1.5686274509803921,0.8975672215108835
Tony,Brothers,923.0,94.0,60,15.383333333333333,1.5666666666666667,0.9075712881022615
Mark,Ayotte,544.0,61.0,39,13.948717948717949,1.564102564102564,0.8991735537190083
Kane,Fitzgerald,911.0,93.0,61,14.934426229508198,1.5245901639344261,0.9073705179282868
Monty,McCutchen,1068.0,103.0,68,15.705882352941176,1.5147058823529411,0.9120409906063194
Mitchell,Ervin,541.0,62.0,41,13.195121951219512,1.5121951219512195,0.8971807628524047
Violet,Palmer,30.0,6.0,4,7.5,1.5,0.8333333333333334
Marat,Kogut,604.0,73.0,49,12.326530612244898,1.489795918367347,0.8921713441654358
Eric,Dalen,715.0,73.0,49,14.591836734693878,1.489795918367347,0.9073604060913706
Pat,Fraher,772.0,82.0,56,13.785714285714286,1.4642857142857142,0.9039812646370023
Curtis,Blair,528.0,57.0,39,13.538461538461538,1.4615384615384615,0.9025641025641026
Kevin,Scott,683.0,74.0,51,13.392156862745098,1.4509803921568627,0.9022457067371202
Bill,Spooner,648.0,71.0,49,13.224489795918368,1.4489795918367347,0.9012517385257302
Karl,Lane,661.0,64.0,45,14.688888888888888,1.4222222222222223,0.9117241379310345
